currency,Raw Material Price,Global demand percent,Labor Cost,Interest Rates,Consumer Price Index,Category
78,2985,21,3200,3,517,0
86,1833,30,2271,6,673,0
71,1989,26,2430,4,808,0
77,2931,16,2909,7,378,1
76,3027,34,2473,6,351,1
84,3023,40,2359,4,740,1
85,2010,26,3027,7,364,1
85,3039,17,2749,8,216,0
78,2396,28,3111,3,350,1
80,2816,40,3282,6,523,0
80,3043,24,3359,4,398,1
88,2729,35,3327,7,430,1
77,2367,20,2865,3,409,0
89,1985,12,2344,8,720,1
77,2271,21,2993,2,637,0
84,2898,16,3283,4,349,0
77,2913,25,2258,8,473,1
78,2006,37,3538,4,739,1
87,2608,34,2412,8,811,1
77,1891,27,2862,3,243,1
71,1935,10,2449,3,466,0
78,1970,17,3428,8,805,0
83,2964,7,2263,9,622,1
77,3176,39,2594,5,622,1
81,2129,38,3034,9,519,1
90,2955,33,2917,5,755,1
86,3155,24,3068,6,699,0
83,2181,39,3217,8,795,0
83,2722,36,3567,7,654,0
84,2715,29,2370,6,538,1
87,2613,17,3336,6,846,1
76,2391,33,2417,4,740,0
85,2119,38,2879,9,594,0
88,2495,26,2364,6,328,0
78,2952,7,3070,8,485,1
85,3143,11,2468,3,837,1
78,1892,13,2998,8,599,0
90,2258,25,3577,6,344,1
80,3040,20,3342,5,738,1
78,2206,18,2482,2,217,0
83,1957,24,3006,5,836,1
84,2825,15,3395,5,357,1
75,1832,23,3427,5,740,1
71,2976,28,2331,8,346,1
78,2225,43,2541,9,828,0
70,2843,12,2391,6,809,0
80,2193,36,2733,8,371,1
88,1892,28,2967,3,499,1
88,2667,29,2685,7,234,1
88,2899,9,3137,2,663,0
89,2071,20,2247,8,368,1
75,2357,20,3383,4,665,1
86,2353,42,3113,9,536,0
78,2948,30,2586,9,348,1
83,1888,29,2986,3,572,1
86,2884,39,3168,3,447,0
73,2361,32,2483,5,821,1
83,2304,21,3526,9,253,1
87,2058,30,3149,3,620,1
86,1969,44,2506,6,784,0
89,2579,6,2625,8,628,1
85,2198,39,2798,5,418,0
78,1922,29,3511,8,277,1
87,2111,28,2446,2,324,1
70,3081,44,3236,5,762,1
79,1947,41,2942,4,470,1
78,2202,35,3332,4,657,0
75,2252,39,3321,6,685,1
73,2490,10,3471,7,286,1
79,1889,7,3149,8,398,1
84,3117,41,2275,4,587,0
78,2388,30,3454,4,345,1
86,2605,13,2956,3,555,0
83,2003,26,2823,8,795,1
85,2875,28,3426,2,730,0
80,1952,39,3498,8,775,0
70,2289,14,2611,7,529,0
72,2254,24,3281,8,756,0
79,1942,16,2439,4,784,0
77,3088,12,2776,2,801,1
76,1989,7,2796,3,591,0
74,2464,18,3598,7,701,1
81,2636,16,3055,3,251,0
80,2306,15,2377,8,729,0
72,3095,30,2765,8,523,1
71,1802,23,3219,2,684,1
83,2225,10,2384,8,528,1
77,2146,31,2740,6,533,0
86,3109,42,2737,7,491,1
89,1869,42,3400,7,578,0
86,3081,33,2286,9,428,1
89,2584,35,3358,6,506,0
77,2671,41,2894,3,415,0
75,2997,23,2328,5,278,0
84,2666,41,3586,4,651,1
74,2843,18,2284,8,352,1
72,3063,33,2807,6,385,0
84,2427,37,2258,3,558,0
74,1866,27,2226,9,209,0
86,1989,21,2202,6,836,0
80,1973,34,3157,6,379,0
78,2843,10,2471,6,363,0
87,2406,40,2784,7,431,0
84,2530,12,3498,8,620,0
79,2086,9,2278,5,549,1
74,2363,23,3561,5,414,0
76,2759,33,2225,6,847,0
73,1949,24,2722,2,273,1
86,1980,7,3589,8,789,1
74,3012,42,2318,5,603,1
85,1915,42,2901,7,403,1
78,2083,17,2667,8,674,0
75,2684,31,2341,5,265,1
72,3061,39,2320,6,630,1
71,2894,21,2412,8,460,1
74,3147,43,2329,5,286,1
74,2591,33,3328,6,474,1
83,1995,12,2635,7,263,1
87,3023,21,2500,3,318,0
80,2707,42,3554,7,578,1
89,3041,35,3528,4,446,1
75,2729,30,2216,9,308,1
73,2229,39,2544,3,496,0
72,2784,26,3419,3,679,1
71,2369,15,2653,8,484,0
81,2374,34,2671,7,664,0
88,2348,18,2862,8,256,1
76,1827,11,2394,7,246,1
78,2805,28,3150,3,426,1
78,2507,19,2894,2,298,0
74,1993,19,2673,4,598,1
80,1827,38,3514,4,650,0
87,1860,34,2370,3,661,1
89,2625,24,3225,4,309,1
83,2374,15,3582,7,780,0
87,3199,18,2423,5,241,0
74,3073,7,2844,4,426,1
86,3139,25,3491,7,415,1
82,1849,19,2471,8,219,0
90,2624,33,3059,4,298,0
90,2500,18,2766,7,462,1
81,2468,13,3230,7,312,1
81,2237,28,2270,2,724,0
72,2153,19,2289,8,669,1
75,1823,32,2419,7,420,1
83,2949,28,2955,5,802,0
71,3000,34,2338,4,335,1
89,2837,33,2265,3,285,1
71,2812,28,3414,8,374,1
83,3126,41,2520,2,574,0
89,2489,21,3543,7,365,0
87,2623,6,3285,7,338,1
74,2943,40,3359,6,481,0
76,2467,6,3007,8,591,0
77,2944,19,3039,7,423,0
79,2345,12,3482,9,348,1
83,2242,41,2852,5,829,0
